state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
SD,86,0,0,0,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,7.3,9,1.97,1,0
PA,96,0,0,0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,0
ND,190,0,0,0,169.4,102,28.8,253.5,113,21.55,197.1,93,8.87,8.9,5,2.4,1,0
CT,80,0,0,0,118.1,90,20.08,144.3,77,12.27,225.1,86,10.13,8.2,6,2.21,1,0
MI,97,0,1,32,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,8.5,7,2.3,0,0
VT,84,0,1,42,214.3,112,36.43,188.2,107,16,333.5,117,15.01,11.3,10,3.05,0,0
VT,131,0,1,34,156.6,134,26.62,71,95,6.04,261.7,120,11.78,13.4,10,3.62,1,0
IL,58,1,1,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1,0
MO,36,0,0,0,202.4,115,34.41,230.7,115,19.61,202,127,9.09,10.2,2,2.75,3,0
WI,54,0,0,0,116.8,119,19.86,123.1,123,10.46,217.5,101,9.79,12,2,3.24,1,0
NJ,45,0,0,0,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,11,1,2.97,1,0
GA,125,0,1,39,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2,0
VT,72,0,1,21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,2,0
CT,141,0,0,0,51.9,108,8.82,162,83,13.77,223.5,115,10.06,10.1,3,2.73,3,0
AZ,113,0,0,0,81.3,116,13.82,220.6,124,18.75,235.7,113,10.61,8.9,3,2.4,0,0
SD,20,0,1,35,171.5,98,29.16,153.1,127,13.01,165.6,125,7.45,7.1,3,1.92,0,0
CT,212,0,0,0,126,96,21.42,144.3,80,12.27,302.8,102,13.63,7.6,3,2.05,1,0
IN,99,1,0,0,197.2,127,33.52,156,92,13.26,204.1,99,9.18,9.9,6,2.67,4,0
OH,94,0,0,0,194.1,62,33,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1,0
NY,40,0,0,0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1,0
NE,86,0,1,29,157.2,118,26.72,196.3,136,16.69,226.7,109,10.2,8.4,5,2.27,3,0
NC,170,0,0,0,246.4,107,41.89,228.1,124,19.39,166.4,95,7.49,9.1,8,2.46,0,0
HI,105,0,0,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13,4,3.51,1,0
UT,103,0,0,0,189.8,110,32.27,115.5,83,9.82,191.3,103,8.61,12.2,4,3.29,0,0
MD,140,1,1,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4,0
VT,101,0,0,0,0,0,0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,0
TX,98,0,1,19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11,4,2.97,1,0
AZ,104,0,0,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,0
VA,115,0,0,0,132,90,22.44,197.5,75,16.79,175.8,114,7.91,0,0,0,3,0
WI,112,0,0,0,167.8,88,28.53,247.9,81,21.07,155.1,108,6.98,11.9,4,3.21,0,0
NE,70,0,0,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1,0
KY,126,0,0,0,175.4,120,29.82,98.3,71,8.36,201.9,93,9.09,10.6,1,2.86,0,0
NV,87,0,1,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3,0
MO,86,0,0,0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1,0
NM,232,0,0,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1,0
NJ,1,0,1,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,0
NH,133,0,0,0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,0
NC,103,0,0,0,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,7.7,6,2.08,1,0
MT,131,0,1,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1,0
VA,86,0,1,30,99.9,84,16.98,263.5,125,22.4,254.7,90,11.46,9.8,7,2.65,2,0
RI,176,0,0,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,0
AL,96,1,0,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0
WV,11,0,1,38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,7,7,1.89,1,0
WV,48,0,1,34,198,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,0
NJ,127,0,0,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,0
TN,63,0,0,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,0
MI,79,0,0,0,220.9,107,37.55,192.2,97,16.34,161,74,7.25,12.2,2,3.29,1,0
UT,47,0,1,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,0
MI,83,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0
WI,126,1,1,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,0
ND,60,0,0,0,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,0
VT,122,0,0,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,0
WA,136,0,0,0,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,5,10,1.35,1,0
NC,172,0,1,47,274.9,102,46.73,186.6,118,15.86,245,123,11.03,8.8,2,2.38,1,0
SD,78,0,1,25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0,0
MT,94,0,0,0,163.5,136,27.8,143.7,111,12.21,253.4,82,11.4,12.6,5,3.4,1,0
CT,89,0,0,0,82.3,77,13.99,167.2,80,14.21,194.7,70,8.76,7.2,4,1.94,1,0
VA,128,0,0,0,216,111,36.72,153.7,115,13.06,227,74,10.22,12.7,4,3.43,1,0
NC,115,1,0,0,180,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,0
AK,76,0,0,0,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1,0
MD,75,0,1,39,198.2,107,33.69,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1,0
IL,90,0,1,29,185.6,106,31.55,219.7,113,18.67,152.1,120,6.84,11.1,5,3,2,0
CT,30,0,0,0,137.6,108,23.39,162,80,13.77,187.7,126,8.45,5.8,10,1.57,3,0
MA,102,0,1,31,125.3,92,21.3,141.2,108,12,168.2,68,7.57,6.3,2,1.7,3,0
NJ,83,0,0,0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3,0
AR,63,0,1,49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,0
MS,155,0,0,0,163,93,27.71,203.9,102,17.33,159,109,7.15,15.1,4,4.08,2,0
ND,82,0,1,29,163.8,77,27.85,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38,2,0
IN,87,0,0,0,189.5,113,32.22,204.9,100,17.42,221.7,93,9.98,13.4,3,3.62,1,0
NC,118,1,1,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,0
NJ,42,1,0,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12,6,3.24,2,0
OH,134,0,0,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,0
TX,66,0,1,35,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,0,0
WA,66,0,0,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,0
TN,127,0,1,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,0
HI,146,0,0,0,189.3,77,32.18,155.9,128,13.25,186,83,8.37,7.4,3,2,0,0
WY,93,0,1,42,166.9,101,28.37,273.2,84,23.22,171,106,7.69,11.5,1,3.11,1,0
NJ,125,0,0,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,0
AL,115,0,1,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,0
NC,114,0,0,0,193,101,32.81,250,81,21.25,133.3,79,6,9.6,2,2.59,2,0
OH,106,0,0,0,158.6,112,26.96,220,114,18.7,252.9,106,11.38,9.1,3,2.46,0,0
ND,118,0,1,39,91.5,125,15.56,219.9,113,18.69,229,99,10.31,12.7,8,3.43,2,0
CO,59,0,0,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,0
ND,87,1,1,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1,0
NY,21,0,0,0,244.7,81,41.6,168,117,14.28,281.5,87,12.67,6.6,1,1.78,1,0
WI,142,0,1,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,0
WY,62,0,0,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11,5,2.97,0,0
CO,54,0,1,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,0
LA,112,0,0,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,0
AL,68,0,0,0,157.3,83,26.74,220.9,85,18.78,218.9,129,9.85,12,7,3.24,1,0
TX,201,0,1,21,192,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,0
PA,88,0,0,0,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8,1,2.16,1,0
IL,85,0,1,29,144.6,97,24.58,140,102,11.9,165.4,148,7.44,10.9,3,2.94,1,0
MO,45,0,1,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,0
AR,116,0,0,0,160.7,69,27.32,146.8,106,12.48,287.8,144,12.95,8.2,5,2.21,0,0
OH,146,0,1,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,0
WI,63,0,1,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1,0
GA,133,0,0,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,0
KY,125,0,0,0,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,0
OH,72,0,0,0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,0
TN,130,0,0,0,127,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,0
SD,97,0,0,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,4,1.97,1,0
GA,160,0,1,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,0
TX,79,0,0,0,144,90,24.48,135.8,91,11.54,212.4,129,9.56,13,4,3.51,1,0
WV,92,0,1,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,0
MI,59,0,0,0,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12,4,3.24,1,0
ND,132,0,0,0,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,0
NE,21,0,0,0,225,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,0
SD,93,0,0,0,176.1,103,29.94,199.7,130,16.97,263.9,96,11.88,8.5,6,2.3,2,0
NJ,147,0,1,36,254.2,78,43.21,228.1,105,19.39,98,125,4.41,13.8,7,3.73,5,0
AK,101,0,0,0,174.9,105,29.73,262,75,22.27,210,93,9.45,8.5,5,2.3,1,0
CO,63,0,0,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,2.89,3,0
MD,107,0,0,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,0
ND,110,0,0,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,0
NH,83,0,0,0,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,12.4,2,3.35,3,0
MN,117,0,0,0,161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,1,0
KY,124,0,0,0,194,103,32.98,241,116,20.49,227.5,153,10.24,11.9,5,3.21,0,0
NH,115,0,0,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,0
CO,156,1,0,0,277,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,0
KY,89,0,0,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0,0
KY,72,0,0,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,0
IN,101,0,1,42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,2.57,0,0
OR,53,0,0,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,0
SD,116,0,0,0,167.8,119,28.53,142,123,12.07,190.7,128,8.58,7.3,4,1.97,2,0
DE,78,0,0,0,139.2,140,23.66,191.4,113,16.27,286.5,125,12.89,11.8,3,3.19,3,0
OR,117,0,1,17,221.3,82,37.62,167.6,100,14.25,262.7,87,11.82,4.4,4,1.19,0,0
NE,56,0,0,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,0
OH,123,0,1,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,0
OH,127,0,0,0,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,0
AR,116,0,1,23,253,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,0
KS,138,0,1,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15,3,4.05,1,0
TX,120,0,0,0,203.3,108,34.56,259.9,66,22.09,115.9,103,5.22,7.8,2,2.11,3,0
WI,102,0,0,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,0
OR,95,0,0,0,167.6,96,28.49,176,89,14.96,250.9,113,11.29,13.4,6,3.62,2,0
VA,102,0,0,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,0
AR,89,0,1,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1,0
CT,50,0,0,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,0
OH,93,0,1,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,0
WY,68,0,0,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,0
IL,70,0,0,0,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8,3,2.16,2,0
MO,138,0,1,29,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0,0
DC,141,0,1,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8,3,2.16,4,0
MA,112,0,1,17,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,0,0
IA,1,0,1,26,208,115,35.36,185,113,15.73,177.7,144,8,8.1,9,2.19,1,0
AL,70,0,0,0,230.3,110,39.15,77.9,87,6.62,247.1,105,11.12,13.2,4,3.56,1,0
OR,87,0,1,22,240.8,102,40.94,75.9,106,6.45,224.6,115,10.11,7.1,3,1.92,2,0
WV,52,0,1,21,195.7,119,33.27,106.2,95,9.03,157.4,94,7.08,5.3,3,1.43,2,0
NV,105,0,0,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2,0
NH,120,0,1,43,177.9,117,30.24,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,1,0
WY,54,0,1,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,0
FL,148,1,0,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,0
KS,101,0,1,25,144.1,144,24.5,167.6,105,14.25,240,107,10.8,14.5,3,3.92,1,0
KY,172,0,0,0,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0,0
DE,80,0,0,0,199.8,138,33.97,167.1,91,14.2,271.8,94,12.23,5.5,4,1.49,1,0
WI,67,0,0,0,109.1,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2,0
CO,86,0,0,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1,0
DE,133,0,0,0,245.8,102,41.79,264.7,90,22.5,111.7,103,5.03,11.2,7,3.02,0,0
IL,116,0,0,0,164.6,110,27.98,270.6,103,23,230.4,109,10.37,8,3,2.16,0,0
WA,63,0,0,0,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2,0,0
TN,94,1,0,0,170.1,113,28.92,271.8,94,23.1,110.7,78,4.98,8.7,4,2.35,1,0
MA,69,0,0,0,195.1,91,33.17,261.5,57,22.23,203.8,90,9.17,11.4,5,3.08,0,0
NH,142,1,1,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,0
MD,123,0,0,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3,0
AZ,43,0,0,0,179.3,97,30.48,252.7,126,21.48,227.5,114,10.24,8,5,2.16,0,0
IN,69,0,0,0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,0
NY,15,1,0,0,141.4,80,24.04,123.9,76,10.53,323.5,88,14.56,8.1,3,2.19,2,0
WI,107,0,1,25,248.6,91,42.26,119.3,115,10.14,194.3,83,8.74,12,1,3.24,1,0
WV,67,0,0,0,152.5,131,25.93,252.4,107,21.45,185.4,104,8.34,4.9,3,1.32,2,0
NY,99,0,0,0,145.6,102,24.75,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,0
OK,46,0,0,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,0
NC,55,1,0,0,221,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,0
TX,92,0,0,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,0
HI,132,1,1,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,0
SC,140,0,1,28,157.1,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3,1,0
AK,51,1,1,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2,0
SD,27,0,0,0,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,0
ID,224,0,0,0,111.4,133,18.94,175,66,14.88,217.2,106,9.77,5.5,6,1.49,3,0
WA,117,0,0,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12,4,3.24,2,0
OH,135,0,0,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,0
